lib total_size num_regions memsync_time rcuda_time local_time nvidia_time other_time
mrcuda 1048576 1 1.118000 0.868000 0.250000 0.195000 0.055000
mrcuda 1048576 1 1.073000 0.826000 0.247000 0.193000 0.054000
mrcuda 1048576 1 1.122000 0.867000 0.255000 0.196000 0.059000
mrcuda 1048576 1 1.074000 0.823000 0.251000 0.194000 0.057000
mrcuda 1048576 1 1.067000 0.819000 0.248000 0.196000 0.052000
mrcuda 1048576 1 1.121000 0.859000 0.262000 0.205000 0.057000
mrcuda 1048576 1 1.123000 0.875000 0.248000 0.192000 0.056000
mrcuda 1048576 1 1.071000 0.822000 0.249000 0.196000 0.053000
mrcuda 1048576 1 1.080000 0.830000 0.250000 0.194000 0.056000
mrcuda 1048576 1 1.069000 0.827000 0.242000 0.189000 0.053000
mrcuda 2097152 1 2.308000 1.766000 0.542000 0.433000 0.109000
mrcuda 2097152 1 2.282000 1.745000 0.537000 0.424000 0.113000
mrcuda 2097152 1 2.189000 1.669000 0.520000 0.414000 0.106000
mrcuda 2097152 1 2.129000 1.648000 0.481000 0.386000 0.095000
mrcuda 2097152 1 2.138000 1.649000 0.489000 0.392000 0.097000
mrcuda 2097152 1 2.321000 1.774000 0.547000 0.435000 0.112000
mrcuda 2097152 1 2.166000 1.672000 0.494000 0.394000 0.100000
mrcuda 2097152 1 2.176000 1.670000 0.506000 0.405000 0.101000
mrcuda 2097152 1 2.330000 1.785000 0.545000 0.432000 0.113000
mrcuda 2097152 1 2.093000 1.608000 0.485000 0.384000 0.101000
mrcuda 4194304 1 3.118000 2.034000 1.084000 0.729000 0.355000
mrcuda 4194304 1 3.071000 2.021000 1.050000 0.732000 0.318000
mrcuda 4194304 1 3.078000 2.037000 1.041000 0.716000 0.325000
mrcuda 4194304 1 2.593000 1.701000 0.892000 0.777000 0.115000
mrcuda 4194304 1 3.139000 2.035000 1.104000 0.724000 0.380000
mrcuda 4194304 1 3.062000 2.027000 1.035000 0.714000 0.321000
mrcuda 4194304 1 3.087000 2.044000 1.043000 0.720000 0.323000
mrcuda 4194304 1 3.122000 2.071000 1.051000 0.728000 0.323000
mrcuda 4194304 1 3.216000 2.101000 1.115000 0.767000 0.348000
mrcuda 4194304 1 3.118000 2.064000 1.054000 0.733000 0.321000
mrcuda 8388608 1 7.830000 5.450000 2.380000 1.491000 0.889000
mrcuda 8388608 1 6.809000 4.616000 2.193000 1.423000 0.770000
mrcuda 8388608 1 6.770000 4.404000 2.366000 1.480000 0.886000
mrcuda 8388608 1 6.543000 4.362000 2.181000 1.417000 0.764000
mrcuda 8388608 1 7.428000 4.954000 2.474000 1.532000 0.942000
mrcuda 8388608 1 7.430000 5.149000 2.281000 1.449000 0.832000
mrcuda 8388608 1 7.264000 5.053000 2.211000 1.419000 0.792000
mrcuda 8388608 1 5.784000 4.111000 1.673000 1.443000 0.230000
mrcuda 8388608 1 7.738000 5.189000 2.549000 1.577000 0.972000
mrcuda 8388608 1 7.641000 5.263000 2.378000 1.494000 0.884000
mrcuda 16777216 1 11.298000 7.274000 4.024000 3.339000 0.685000
mrcuda 16777216 1 11.960000 7.929000 4.031000 3.304000 0.727000
mrcuda 16777216 1 13.863000 8.801000 5.062000 3.002000 2.060000
mrcuda 16777216 1 9.739000 6.064000 3.675000 3.074000 0.601000
mrcuda 16777216 1 13.990000 8.933000 5.057000 3.004000 2.053000
mrcuda 16777216 1 13.414000 8.418000 4.996000 2.889000 2.107000
mrcuda 16777216 1 14.610000 9.047000 5.563000 3.274000 2.289000
mrcuda 16777216 1 12.585000 8.543000 4.042000 3.357000 0.685000
mrcuda 16777216 1 11.044000 7.610000 3.434000 2.876000 0.558000
mrcuda 16777216 1 14.735000 10.563000 4.172000 3.474000 0.698000
mrcuda 33554432 1 29.670000 20.290000 9.380000 7.444000 1.936000
mrcuda 33554432 1 30.921000 20.866000 10.055000 9.125000 0.930000
mrcuda 33554432 1 28.255000 17.842000 10.413000 9.450000 0.963000
mrcuda 33554432 1 27.436000 17.124000 10.312000 6.074000 4.238000
mrcuda 33554432 1 27.413000 17.093000 10.320000 6.093000 4.227000
mrcuda 33554432 1 29.478000 20.133000 9.345000 7.401000 1.944000
mrcuda 33554432 1 27.183000 17.458000 9.725000 7.901000 1.824000
mrcuda 33554432 1 27.961000 17.882000 10.079000 8.246000 1.833000
mrcuda 33554432 1 27.736000 17.391000 10.345000 6.124000 4.221000
mrcuda 33554432 1 31.146000 20.775000 10.371000 9.439000 0.932000
mrcuda 67108864 1 59.627000 43.324000 16.303000 14.474000 1.829000
mrcuda 67108864 1 54.241000 35.357000 18.884000 12.485000 6.399000
mrcuda 67108864 1 58.993000 40.005000 18.988000 17.167000 1.821000
mrcuda 67108864 1 62.709000 43.003000 19.706000 17.887000 1.819000
mrcuda 67108864 1 51.557000 33.212000 18.345000 11.935000 6.410000
mrcuda 67108864 1 65.201000 45.661000 19.540000 17.715000 1.825000
mrcuda 67108864 1 58.445000 37.074000 21.371000 14.982000 6.389000
mrcuda 67108864 1 57.857000 36.847000 21.010000 14.622000 6.388000
mrcuda 67108864 1 59.658000 43.046000 16.612000 14.782000 1.830000
mrcuda 67108864 1 52.944000 34.095000 18.849000 12.461000 6.388000
mrcuda 134217728 1 117.940000 88.201000 29.739000 26.141000 3.598000
mrcuda 134217728 1 119.030000 89.241000 29.789000 26.170000 3.619000
mrcuda 134217728 1 103.175000 67.635000 35.540000 23.079000 12.461000
mrcuda 134217728 1 116.182000 77.450000 38.732000 26.301000 12.431000
mrcuda 134217728 1 120.691000 91.097000 29.594000 25.989000 3.605000
mrcuda 134217728 1 125.176000 87.062000 38.114000 25.687000 12.427000
mrcuda 134217728 1 123.499000 91.244000 32.255000 28.662000 3.593000
mrcuda 134217728 1 125.539000 93.918000 31.621000 28.021000 3.600000
mrcuda 134217728 1 123.263000 92.341000 30.922000 27.323000 3.599000
mrcuda 134217728 1 123.898000 84.229000 39.669000 27.231000 12.438000
mrcuda 268435456 1 245.244000 189.520000 55.724000 48.308000 7.416000
mrcuda 268435456 1 220.234000 148.192000 72.042000 47.140000 24.902000
mrcuda 268435456 1 252.476000 196.371000 56.105000 48.963000 7.142000
mrcuda 268435456 1 241.898000 185.647000 56.251000 49.089000 7.162000
mrcuda 268435456 1 241.892000 168.858000 73.034000 49.542000 23.492000
mrcuda 268435456 1 248.038000 191.483000 56.555000 49.385000 7.170000
mrcuda 268435456 1 252.499000 194.118000 58.381000 51.197000 7.184000
mrcuda 268435456 1 248.137000 193.045000 55.092000 47.914000 7.178000
mrcuda 268435456 1 254.272000 196.495000 57.777000 50.621000 7.156000
mrcuda 268435456 1 252.081000 193.525000 58.556000 51.398000 7.158000
mrcuda 536870912 1 506.842000 397.599000 109.243000 94.933000 14.310000
mrcuda 536870912 1 479.271000 337.604000 141.667000 93.059000 48.608000
mrcuda 536870912 1 460.456000 318.992000 141.464000 92.834000 48.630000
mrcuda 536870912 1 488.063000 346.682000 141.381000 92.826000 48.555000
mrcuda 536870912 1 501.365000 394.098000 107.267000 92.932000 14.335000
mrcuda 536870912 1 495.773000 356.952000 138.821000 90.229000 48.592000
mrcuda 536870912 1 505.141000 397.456000 107.685000 93.376000 14.309000
mrcuda 536870912 1 499.718000 392.650000 107.068000 92.747000 14.321000
mrcuda 536870912 1 499.203000 391.356000 107.847000 93.523000 14.324000
mrcuda 536870912 1 502.987000 362.479000 140.508000 91.705000 48.803000
mrcuda 1048576 2 0.935000 0.739000 0.196000 0.186000 0.010000
mrcuda 1048576 2 0.920000 0.724000 0.196000 0.184000 0.012000
mrcuda 1048576 2 0.919000 0.721000 0.198000 0.188000 0.010000
mrcuda 1048576 2 0.967000 0.749000 0.218000 0.206000 0.012000
mrcuda 1048576 2 0.993000 0.792000 0.201000 0.188000 0.013000
mrcuda 1048576 2 0.927000 0.730000 0.197000 0.185000 0.012000
mrcuda 1048576 2 1.249000 0.915000 0.334000 0.316000 0.018000
mrcuda 1048576 2 0.924000 0.728000 0.196000 0.185000 0.011000
mrcuda 1048576 2 0.928000 0.731000 0.197000 0.185000 0.012000
mrcuda 1048576 2 0.997000 0.796000 0.201000 0.188000 0.013000
mrcuda 2097152 2 2.049000 1.597000 0.452000 0.390000 0.062000
mrcuda 2097152 2 2.015000 1.580000 0.435000 0.375000 0.060000
mrcuda 2097152 2 2.059000 1.624000 0.435000 0.377000 0.058000
mrcuda 2097152 2 2.118000 1.681000 0.437000 0.378000 0.059000
mrcuda 2097152 2 2.010000 1.586000 0.424000 0.368000 0.056000
mrcuda 2097152 2 2.114000 1.679000 0.435000 0.373000 0.062000
mrcuda 2097152 2 2.003000 1.581000 0.422000 0.365000 0.057000
mrcuda 2097152 2 2.010000 1.586000 0.424000 0.367000 0.057000
mrcuda 2097152 2 2.103000 1.670000 0.433000 0.374000 0.059000
mrcuda 2097152 2 2.137000 1.674000 0.463000 0.404000 0.059000
mrcuda 4194304 2 3.745000 2.785000 0.960000 0.696000 0.264000
mrcuda 4194304 2 3.890000 3.107000 0.783000 0.679000 0.104000
mrcuda 4194304 2 3.941000 3.167000 0.774000 0.669000 0.105000
mrcuda 4194304 2 3.957000 3.185000 0.772000 0.668000 0.104000
mrcuda 4194304 2 4.513000 3.551000 0.962000 0.826000 0.136000
mrcuda 4194304 2 4.143000 3.314000 0.829000 0.716000 0.113000
mrcuda 4194304 2 3.863000 3.087000 0.776000 0.671000 0.105000
mrcuda 4194304 2 3.962000 3.184000 0.778000 0.673000 0.105000
mrcuda 4194304 2 3.966000 3.187000 0.779000 0.675000 0.104000
mrcuda 4194304 2 3.944000 3.171000 0.773000 0.667000 0.106000
mrcuda 8388608 2 5.682000 3.946000 1.736000 1.406000 0.330000
mrcuda 8388608 2 5.848000 4.078000 1.770000 1.419000 0.351000
mrcuda 8388608 2 5.670000 3.972000 1.698000 1.365000 0.333000
mrcuda 8388608 2 5.633000 3.939000 1.694000 1.361000 0.333000
mrcuda 8388608 2 5.538000 3.593000 1.945000 1.454000 0.491000
mrcuda 8388608 2 5.679000 3.979000 1.700000 1.371000 0.329000
mrcuda 8388608 2 5.707000 3.989000 1.718000 1.372000 0.346000
mrcuda 8388608 2 5.798000 4.077000 1.721000 1.394000 0.327000
mrcuda 8388608 2 5.856000 4.089000 1.767000 1.408000 0.359000
mrcuda 8388608 2 5.617000 3.884000 1.733000 1.408000 0.325000
mrcuda 16777216 2 12.637000 9.314000 3.323000 3.011000 0.312000
mrcuda 16777216 2 14.019000 10.108000 3.911000 2.958000 0.953000
mrcuda 16777216 2 13.594000 9.358000 4.236000 3.045000 1.191000
mrcuda 16777216 2 13.640000 10.043000 3.597000 2.822000 0.775000
mrcuda 16777216 2 13.611000 9.253000 4.358000 3.292000 1.066000
mrcuda 16777216 2 15.001000 10.526000 4.475000 3.313000 1.162000
mrcuda 16777216 2 13.606000 10.003000 3.603000 2.819000 0.784000
mrcuda 16777216 2 13.891000 10.236000 3.655000 2.858000 0.797000
mrcuda 16777216 2 14.015000 9.950000 4.065000 3.073000 0.992000
mrcuda 16777216 2 13.109000 9.348000 3.761000 2.866000 0.895000
mrcuda 33554432 2 25.229000 17.308000 7.921000 5.808000 2.113000
mrcuda 33554432 2 25.295000 16.646000 8.649000 6.085000 2.564000
mrcuda 33554432 2 24.536000 16.611000 7.925000 5.849000 2.076000
mrcuda 33554432 2 24.911000 16.728000 8.183000 6.026000 2.157000
mrcuda 33554432 2 25.051000 17.238000 7.813000 5.821000 1.992000
mrcuda 33554432 2 25.476000 16.758000 8.718000 6.181000 2.537000
mrcuda 33554432 2 25.003000 16.858000 8.145000 6.013000 2.132000
mrcuda 33554432 2 24.772000 16.793000 7.979000 5.904000 2.075000
mrcuda 33554432 2 24.515000 16.820000 7.695000 5.738000 1.957000
mrcuda 33554432 2 24.666000 16.669000 7.997000 5.907000 2.090000
mrcuda 67108864 2 63.553000 41.255000 22.298000 18.123000 4.175000
mrcuda 67108864 2 59.044000 37.920000 21.124000 17.295000 3.829000
mrcuda 67108864 2 60.809000 38.806000 22.003000 13.910000 8.093000
mrcuda 67108864 2 60.421000 39.802000 20.619000 18.059000 2.560000
mrcuda 67108864 2 57.090000 35.416000 21.674000 13.396000 8.278000
mrcuda 67108864 2 63.989000 41.957000 22.032000 18.833000 3.199000
mrcuda 67108864 2 56.653000 34.705000 21.948000 12.944000 9.004000
mrcuda 67108864 2 57.105000 35.091000 22.014000 13.254000 8.760000
mrcuda 67108864 2 64.699000 41.964000 22.735000 19.033000 3.702000
mrcuda 67108864 2 51.247000 33.340000 17.907000 15.351000 2.556000
mrcuda 134217728 2 108.127000 70.938000 37.189000 24.356000 12.833000
mrcuda 134217728 2 122.008000 80.119000 41.889000 29.070000 12.819000
mrcuda 134217728 2 111.459000 71.761000 39.698000 26.833000 12.865000
mrcuda 134217728 2 116.223000 74.689000 41.534000 28.793000 12.741000
mrcuda 134217728 2 120.129000 83.411000 36.718000 33.084000 3.634000
mrcuda 134217728 2 120.787000 79.283000 41.504000 28.657000 12.847000
mrcuda 134217728 2 108.678000 73.540000 35.138000 31.517000 3.621000
mrcuda 134217728 2 124.712000 84.096000 40.616000 36.974000 3.642000
mrcuda 134217728 2 128.982000 86.725000 42.257000 29.349000 12.908000
mrcuda 134217728 2 123.239000 82.604000 40.635000 37.001000 3.634000
