prog lib count size_per_call time
cudamemcpy mrcuda 0 1024 23.707000
cudamemcpy mrcuda 0 2048 23.586000
cudamemcpy mrcuda 0 4096 24.085000
cudamemcpy mrcuda 0 8192 27.142000
cudamemcpy mrcuda 0 16384 32.360000
cudamemcpy mrcuda 0 32768 43.379000
cudamemcpy mrcuda 0 65536 65.852000
cudamemcpy mrcuda 0 131072 107.484000
cudamemcpy mrcuda 0 262144 190.487000
cudamemcpy mrcuda 0 524288 360.121000
cudamemcpy mrcuda 0 1048576 740.892000
cudamemcpy mrcuda 0 2097152 1502.484000
cudamemcpy mrcuda 0 4194304 3162.210000
cudamemcpy mrcuda 0 8388608 6589.956000
cudamemcpy mrcuda 0 16777216 14099.772000
cudamemcpy mrcuda 0 33554432 28670.813000
cudamemcpy mrcuda 0 67108864 57351.585000
cudamemcpy mrcuda 0 134217728 114402.483000
cudamemcpy mrcuda 0 268435456 228174.487000
cudamemcpy mrcuda 0 536870912 456561.788000
cudamemcpy mrcuda 1 1024 25.535000
cudamemcpy mrcuda 1 2048 24.536000
cudamemcpy mrcuda 1 4096 24.919000
cudamemcpy mrcuda 1 8192 28.170000
cudamemcpy mrcuda 1 16384 33.451000
cudamemcpy mrcuda 1 32768 44.960000
cudamemcpy mrcuda 1 65536 67.520000
cudamemcpy mrcuda 1 131072 109.729000
cudamemcpy mrcuda 1 262144 192.256000
cudamemcpy mrcuda 1 524288 363.553000
cudamemcpy mrcuda 1 1048576 774.701000
cudamemcpy mrcuda 1 2097152 1615.745000
cudamemcpy mrcuda 1 4194304 3289.496000
cudamemcpy mrcuda 1 8388608 6818.549000
cudamemcpy mrcuda 1 16777216 14308.595000
cudamemcpy mrcuda 1 33554432 28948.875000
cudamemcpy mrcuda 1 67108864 57716.634000
cudamemcpy mrcuda 1 134217728 114734.186000
cudamemcpy mrcuda 1 268435456 228719.460000
cudamemcpy mrcuda 1 536870912 457770.822000
cudamemcpy mrcuda 2 1024 24.210000
cudamemcpy mrcuda 2 2048 23.541000
cudamemcpy mrcuda 2 4096 23.846000
cudamemcpy mrcuda 2 8192 27.095000
cudamemcpy mrcuda 2 16384 32.419000
cudamemcpy mrcuda 2 32768 43.485000
cudamemcpy mrcuda 2 65536 65.377000
cudamemcpy mrcuda 2 131072 107.146000
cudamemcpy mrcuda 2 262144 190.121000
cudamemcpy mrcuda 2 524288 360.972000
cudamemcpy mrcuda 2 1048576 769.155000
cudamemcpy mrcuda 2 2097152 1610.051000
cudamemcpy mrcuda 2 4194304 3281.864000
